key,answer
id card,"Your student ID gives you access to dorms, meal plans, and the library. Get it at the ID Office."
bank,"There is a bank branch and several ATMs located in the Student Union."
post office,"The campus mailroom handles student packages and mail. You will receive an email when a package arrives."
lost and found,"Lost items are turned in to the Information Desk in the Student Center."
diversity,"We are committed to a diverse and inclusive community with various multicultural centers and resources."
disability,"The Office of Disability Services provides accommodations like extra test time and note-takers."
religious,"The Interfaith Center provides prayer spaces and chaplains for various religious denominations."
art,"The Fine Arts building has galleries open to the public featuring student and faculty work."
music,"Practice rooms are available in the Music Building. Non-majors can audition for the university orchestra/choir."
theater,"Student drama productions are held each semester. Auditions are open to all students."
research,"Undergraduates can participate in research. Check the 'Research Opportunities' page or talk to professors."
study abroad,"We have study abroad partnerships in over 40 countries. Financial aid often applies to these programs."
summer session,"Summer courses are available online and on-campus. Registration opens in March."
online,"We offer fully online degree programs and individual online courses. Check the distance learning page."
audit,"You can audit a class (sit in without credit) with instructor permission and a reduced fee."
part time,"Part-time study is fewer than 12 credits. Note that this may affect financial aid eligibility."
syllabus,"Syllabi are usually available on the course management system (Blackboard/Canvas) on the first day of class."
attendance,"Attendance policies are set by individual professors and listed in the course syllabus."
plagiarism,"Academic integrity is taken seriously. Plagiarism can result in failure of the course or suspension."
probation,"Students with a GPA below 2.0 are placed on academic probation and must meet with an advisor."
dean list,"Students with a GPA of 3.5 or higher and at least 12 credits make the Dean's List."
honors program,"The Honors College offers specialized seminars and priority registration for high-achieving students."
mascot,"Our mascot is the Golden Eagle! You'll see him at all major sporting events."
colors,"The official university colors are Navy Blue and Gold."
history,"Founded in 1895, our university has a long tradition of academic excellence and community service."
location,"We are located in the heart of the city, just 20 minutes from the international airport."
weather,"Winters can be cold with snow, so bring a warm coat! Springs and Autumns are mild and beautiful."
